playlist_id,timestamp       ,order,song_id            
101,1396766999,25,312
101,1396766999,26,313
101,1396766999,24,314
101,1396766999,23,315
101,1396766999,22,316
101,1396766999,21,317
101,1396766999,20,318
101,1396766999,19,319
101,1396766999,18,320
101,1396766999,1,7
101,1396766999,2,10
101,1396766999,3,14
101,1396766999,5,247
101,1396766999,4,19
101,1396766999,6,24
101,1396766999,7,25
101,1396766999,8,26
101,1396766999,9,259
101,1396766999,10,254
101,1396766999,11,43
101,1396766999,12,46
101,1396766999,13,225
101,1396766999,14,47
101,1396766999,15,48
101,1396766999,16,49
101,1396766999,17,55
102,1396776553.479,1,321
102,1396776553.479,2,22
102,1396776553.479,3,274
102,1396776553.479,4,33
102,1396776553.479,5,35
102,1396776553.479,6,44
102,1396776553.479,7,297
102,1396776553.479,8,225
102,1396776553.479,9,50
102,1396776553.479,10,52
102,1396776553.479,11,79
102,1396776553.479,12,82
102,1396776553.479,13,229
102,1396776553.479,14,102
102,1396776553.479,15,110
102,1396776553.479,16,113
102,1396776553.479,17,116
103,1396776854.289,1,23
103,1396776854.289,3,27
103,1396776854.289,2,67
103,1396776854.289,5,68
103,1396776854.289,4,97
103,1396776854.289,7,129
103,1396776854.289,6,141
103,1396776854.289,8,148
103,1396776854.289,9,235
104,1396800829.398,1,322
104,1396800829.398,2,323
104,1396800829.398,3,324
104,1396800829.398,4,325
104,1396800829.398,5,326
104,1396800829.398,6,327
105,1396795769.034,1,13
105,1396795769.034,2,221
109,1396766098.280,1,60
109,1396766098.280,2,65
111,1396795579.569,1,325
111,1396800790.756,2,326
111,1396800827.162,3,327
111,1396800829.398,4,328
111,1396800829.925,5,329
111,1396800925.464,6,330
111,1396800925.792,7,323